Month,Borough,Percentage
2016-01,Bronx,4.93823906055111
2016-01,Brooklyn,39.50424758207622
2016-01,Manhattan,28.26039904934077
2016-01,Queens,27.277482334692543
2016-01,Staten Island,0.01963197333936398
2016-02,Bronx,5.238051311387613
2016-02,Brooklyn,38.68820756563907
2016-02,Manhattan,29.57907248219617
2016-02,Queens,26.47509123403363
2016-02,Staten Island,0.01957740674352071
2016-03,Bronx,5.641434618305642
2016-03,Brooklyn,38.32132921113832
2016-03,Manhattan,29.479706234579478
2016-03,Queens,26.54034683627654
2016-03,Staten Island,0.017183099700017183
